,,precision,precision,recall,recall,f1_score,f1_score,auc_roc,auc_roc,auc_pr,auc_pr,gmean,gmean,balanced_accuracy,balanced_accuracy,training_time,training_time
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
sampler,model,,,,,,,,,,,,,,,,
ADASYN,XGBoost,0.6956982353211494,0.05833243096136028,0.8393939393939395,0.022327825191825763,0.7601246178455481,0.04119813183811844,0.977065956495965,0.008426547495390752,0.8515562251185301,0.030299893574014407,0.9158254686216084,0.012198731538858374,0.9193751435534316,0.01121096486277838,3.484787178039551,0.5491839991547088
ADASYN,XGBoost_b,0.46992700851954095,0.03210568596618232,0.8434343434343434,0.026830194810559573,0.6029789557413079,0.027522007321463694,0.9671605830971324,0.007383529008384776,0.8349592271611851,0.04473047653810818,0.9175342080174204,0.014461462353091292,0.9208888650854428,0.013397556687086793,4.261704778671264,0.9271372509482095
None,XGBoost,0.8969639321699248,0.04313478073825326,0.7703978561121418,0.03272530057107305,0.8284758589502422,0.03149473395850123,0.944567934880993,0.021604994828884363,0.7958347121977971,0.03820739614031232,0.8774971758406386,0.018640326873062708,0.8851215490925973,0.016374754983917068,2.1332305908203124,0.41829667889981437
None,XGBoost_b,0.9134019934556751,0.05073695192093218,0.8190682333539476,0.024587432482863995,0.8632213625937464,0.031184310824425177,0.9795433170025236,0.009113930012364522,0.8590037567959621,0.034371065570065536,0.9048802453641072,0.013612798104146225,0.9094655307775312,0.012309660370521768,2.23716402053833,0.3463030043121045
Random OverSampling,XGBoost,0.9196798063152152,0.04120320644802169,0.8312512883941455,0.027789526212831334,0.8731074858304702,0.0323458408833047,0.9763559842771532,0.011320261068084375,0.8604957571909708,0.025552343834720357,0.911570675546446,0.015251834345530986,0.9155623341360488,0.013920779157031481,3.482533311843872,0.5522509999404344
Random OverSampling,XGBoost_b,0.8420094589123112,0.040901680194301036,0.825211296639868,0.016559974087093535,0.8331053456033306,0.022610347359459416,0.962919262528348,0.014353168889821162,0.8414719047485285,0.024093067606805265,0.9082516891658441,0.009132191236911478,0.9124702351338552,0.008281624221962696,3.679496717453003,0.4284983535495873
SMOTE,XGBoost,0.7511588622833585,0.045859831695021926,0.8454751597608741,0.018720100032104538,0.7951623683494221,0.03272598965400996,0.9745821468361358,0.007671712622869933,0.8557234010963015,0.026336523260255415,0.9192276879210768,0.010212613289949955,0.9224931327003727,0.009399158724379962,4.005474328994751,0.9745210958094984
SMOTE,XGBoost_b,0.5152565747696819,0.027571153100616055,0.8495774067202639,0.019594925600527315,0.641056560186995,0.022267086701838638,0.9657397403204996,0.013686976262391367,0.8391242688696481,0.026029118177979194,0.921035835150879,0.010581381853341353,0.9240940513016757,0.009781702356402095,3.6896369457244873,0.3738905488038517
SMOTETomek,XGBoost,0.7511588622833585,0.045859831695021926,0.8454751597608741,0.018720100032104538,0.7951623683494221,0.03272598965400996,0.9745821468361358,0.007671712622869933,0.8557234010963015,0.026336523260255415,0.9192276879210768,0.010212613289949955,0.9224931327003727,0.009399158724379962,4.2059893131256105,0.3788150833072411
SMOTETomek,XGBoost_b,0.5152565747696819,0.027571153100616055,0.8495774067202639,0.019594925600527315,0.641056560186995,0.022267086701838638,0.9657397403204996,0.013686976262391367,0.8391242688696481,0.026029118177979194,0.921035835150879,0.010581381853341353,0.9240940513016757,0.009781702356402095,4.146834373474121,0.5553202794312084
